광역지역,세부지역,관광지명,링크,설명,분류
지역 미상,세부 지역 미상,산에는 꽃이피네,https://data.visitkorea.or.kr/page/1972012,"나주시 도래한옥마을에 자리한 ‘산에는 꽃이피네’ 는 못을 하나도 사용하지 않고 양질의 목재로 지은 100여 년 된 고택이다. 객실마다 주방과 화장실을 갖췄고, 단열에도 꼼꼼히 신경을 썼다. 고운 한지와 오랜 소품들은 아늑한 정취를 더하고, 오래된 툇마루와 60년이 넘은 단풍나무는 세월의 맛을 선물한다. 동네에 문화재가 많아 주말에 주인장이 동네 안내를 해주기도 한다. 인근에 나주 메타세쿼이아 길이 있어 산림욕을 즐기기 좋다.",Place
지역 미상,세부 지역 미상,석정댁,https://data.visitkorea.or.kr/page/1872077,"석정댁은 조선전기 문신 김종직 선생 후손들의 집성촌인 개실마을에 위치한 독채 한옥 민박집이다. 방 2칸, 거실 1칸, 주방 1칸으로 이루어져 있어 가족이나 단체여행객이 묵기 좋고, 각 방에 에어컨이 딸려 있어 쾌적하게 이용할 수 있다. 객실 내 취사나 야외 바비큐도 가능하다. 마을에서 운영하는 농사체험, 자연체험, 전통예절․음식․놀이 등 다양한 체험프로그램을 즐기며 옛 시골 정취와 함께 즐거운 추억을 쌓을 수 있다.",Restaurant
경상북도,안동시,정재종택,https://data.visitkorea.or.kr/page/1883070,"정재종택은 경상북도 안동에 위치해 있다. 시원하게 펼쳐진 임하호가 내려다보이는 곳에 위치한 고즈넉한 고택이다. 300여 년의 시간을 안고 서 있는 이곳은 널찍한 흙마당과 나무 기둥, 툇마루와 기와가 그 기품을 나타내고 있다. 고택 음악회, 전통 음식 체험, 다식 만들기 체험, 전통놀이 등 다양한 체험 프로그램을 운영하고 있다. 화장실을 현대식으로 개조하여 편의성을 높였다. 전주유씨무실종택, 수애당, 기양서원, 봉황사, 임하대 등 다양한 명소가 주변에 위치해 있다.",Restaurant
경상북도,안동시,옥연정사,https://data.visitkorea.or.kr/page/1883590,"옥연정사는 안동 한옥마을에 위치해 있다. 1979년 1월 23일 중요민속자료 제88호로 지정되었다. 비망록을 집필한 서애 류성룡이 머물렀던 고택으로 역사와 전통을 지녔다. 오래된 고택이지만, 리모델링을 통해 편의성을 높였다. 원락재 내에는 실내 화장실이 있다. 에어컨, 냉장고, 블렌딩 커피, 전통차 등 물품이 비치되어 있다. 옥연정사에서는 고택체험을 운영하고 있다. 부용대, 간죽문, 옥연정사까지 함께 걸으며 약사와 전통을 느낄 수 있다. 오전 8:30-9:30까지 조식을 제공한다. 충효당, 부용당, 월영교, 봉정사, 병산서원, 안동하회마을 등 다양한 명소가 있다.",Leisure
경상남도,고성시,고성 최필간고택,https://data.visitkorea.or.kr/page/1990092,"최필간 고택은 고성 학동마을 돌담길에 위치한 200여년의 역사를 품은 경남 문화재로, 다른 한옥에 비해 담장이 높고 웅장한 전통 사대부가의 한옥이다. 현재 전주 최씨 가문이 11대째 이어가며 지키고 있다. 고택은 대문간채, 안채, 안사랑채, 사랑채, 고방채 등으로 구성되어 있고, 중문을 경계로 남녀 공간을 구별해 놓았다. 세월의 흔적을 담은 돌담 사이로 이어지는 언덕길을 거닐며 직접 운치를 느껴보는 것을 추천한다.",Place
지역 미상,안성시,맥산댁,https://data.visitkorea.or.kr/page/1871270,"맥산댁은 인심 많은 노부부가 운영하는 한옥 민박이다. 집 가까이에 계곡이 있어서 여름에 물놀이하기에 좋고, 주인장이 내어 주는 과일을 먹으며 넓은 한옥 방에 누워 휴식을 취하기에도 좋은 곳이다. 마을을 거닐다가 보면 시선을 사로잡는 커다란 대문이 보인다. 대문 옆으로 이어진 돌담과 기와지붕 위로 펼쳐지는 산자락이 아름답게 어우러지는 집, 바로 맥산댁이다. 안으로 들어가면, 양쪽에 파란 지붕의 창고가 있고 정면에는 밝은 나무색 한옥이 있다. 한옥은 2008년에 지은 건물로, 가장 왼쪽 방에 손님을 받는다.다른 집보다 높은 천장을 자랑하는 객실은, 지은 지 얼마 안 된 곳이라 그런지 여전히 나무 향이 은은하게 풍긴다. 손님들이 편하게 묵고 갈 수 있도록 싱크대와 화장실도 현대식으로 마련해 두었다. 맥산댁은 깔끔한 객실도 장점이지만, 그보다 더 인기 있는 것은 아침 식사다. 주인 할머니가 직접 만든 옛날식 반찬으로 식사를 차려주는데, 그 맛이 그리워 다시 찾는 손님도 있다고 한다. 그뿐만 아니라 물놀이를 할 수 있는 계곡도 가까이에 있다고 하니, 친구 혹은 가족과 함께 피서를 오기에도 안성맞춤인 곳이다. 맥산댁이 있는 개실마을은 조선 전기의 문신•학자인 김종직(金宗直) 선생의 후손들이 모여 만든 선산 김씨(善山金氏) 집성촌이다. 마을 내에는 민속자료 62호로 무오사화(戊午士禍) 때 화를 입은 김종직 선생의 종택과 문화재 자료 제111호인 도연재 등이 있다. 인근 대가야박물관에 마련한 김종직 선생 기념실에는 유형문화재 제209호인 점필재 문적유품이 전시되어 있다. 꽃이 피는 아름다운 골짜기라 하여 개화실(開花室)이라고도 불렸던 이곳은 뒤로는 꽃이 만발하는 화개산과 350년 된 대나무숲이 있고, 나비가 내려앉은 형상이라는 접무봉이 마을을 포근히 감싸고 있다. 마을의 80% 이상이 전통 한옥을 유지하고 있는데, 한옥의 기와선이 마을의 따뜻한 정취와 잘 어우러진다. 이 마을은 2001년 아름다운마을가꾸기사업과 2005년 농촌체험마을조성사업을 통해 지금의 모습을 갖추기 시작했다. 마을에 원래 있던 낡은 집들을 보수하거나 새로 지었고, 흙 돌담, 산책로 조성, 세심한 조경으로 정취를 더했다. 그뿐만 아니라 주민과 방문객이 마을을 편리하게 즐길 수 있도록 마을쉼터, 체험관, 인터넷 카페 등을 마련했다. 개실마을은 주민 모두가 함께 노력해 마을에 활기를 더한 대표적인 예로 그 성과를 인정받아 2011년에는 대한민국농어촌마을대상에서 대통령 표창을 받은 바 있다. 2003년 농협 팜스테이마을로 지정된 개실마을에서는 자연과 전통을 활용한 다양한 체험 프로그램을 운영하고 있다. 고구마 캐기, 모내기 등을 할 수 있는 '농사 체험', 예절교육과 전통차 시음을 진행하는 '전통교육 체험', 연이나 짚공예 등을 해볼 수 있는 '만들기 체험', 엿이나 유과 등을 만드는 '전통음식 체험', 그네뛰기, 널뛰기 등 마을 입구의 마당에서 즐기는 '전통놀이 체험', 미꾸라지 잡기나 얼음 썰매를 탈 수 있는 '자연 체험'이 바로 그것이다. 이처럼 계절마다 바뀌는 자연의 아름다움과 다양한 전통을 활용하여 풍부한 체험거리를 갖춘 개실마을은 대표적인 팜스테이마을로 자리를 잡으며 매년 5~6만 명의 관광객이 찾는 명소가 되었다. 전통 한옥 체험과 다양한 즐길 거리를 갖춘 개실마을에서 옛 시골 마을에서 느꼈던 정서를 되살려보기를 추천한다.",Restaurant
지역 미상,의성시,얼음골한옥펜션,https://data.visitkorea.or.kr/page/1882210,"얼음골한옥펜션은 순수 황토로 지은 한옥이다. 객실은 총 3개, 황토, 참숯 가루, 황토 삼베로 지어 건강과 힐링을 선사한다. 또한 여름에는 시원하고, 겨울에는 따뜻하며 고즈넉한 분위기를 자랑한다. 주방과 화장실은 현대식으로 편의성을 높였고, 부대시설로 야외수영장, 야외 바비큐장, 굴렁쇠, 투호 등 전통놀이 시설이 있다. 계절마다 사과 따기 체험, 밤 줍기, 야외 캠핑 등을 운영한다. 펜션이 해발고도 400m에 위치해 있어 굽이굽이 물결치는 능선의 영남 알프스의 장관을 즐길 수 있다.",Accommodation
경상북도,의성시,의성 소우당,https://data.visitkorea.or.kr/page/1992717,"경상북도 의성군 금성면 산운마을에 자리한 소우당은 금성산과 창이들 들판과 어우러진 전통 한옥으로, 국가민속문화유산이다. 소우당은 안채, 사랑채, 대문채, 별채와 정원이 어우러져 있는데, 특히 연못과 작은 숲을 둔 정원은 아름답기로 유명하다. 객실은 사랑방, 안채, 별당에 총 6개가 있고, 일부 객실은 현대식 화장실을 갖췄다. 별당 마루에서는 한 폭의 풍경화 같은 수려한 정원을 한눈에 감상할 수 있다.",Place
전라북도,세부 지역 미상,부용헌,https://data.visitkorea.or.kr/page/1971964,"부용헌은 50m 근거리에 완판본문화관과 전통음악 공연을 관람하고 전통음식 조리 체험 및 전시관 관람을 할 수 있는 전통문화센터가 있어 각종 전통문화를 체험하기에 매우 용이하고 전주한옥마을 전통한옥생활 체험을 하기 좋은 숙박시설이며, 부용헌은 청결함을 기본 수칙으로 많은 이용객의 만족도가 높은 숙소를 제공하고 있다. 한국관광공사 KOREA STAY 인증의 집이다.",Accommodation
서울특별시,세부 지역 미상,남현당,https://data.visitkorea.or.kr/page/1868919,"서울 종로구에 위치한 남현당은 나무로 지어진 ㄷ자 형태의 100살이 넘은 한옥 게스트하우스다. 한옥은 5개의 방과 3개의 욕실 겸 화장실, 부엌, 그리고 넒은 대청마루와 마당으로 구성되어 있다. 황토방 안에는 에어컨이 설치되어 있어 여름에는 시원하게 묵을 수 있다. 빵, 커피, 컵라면 등 간단한 조식을 제공한다. 숙소 인근에 창덕궁, 종묘, 조계사, 광장시장, 경복궁 등 주요 명소가 있어 여행을 편리하게 즐기기에 좋다.",Accommodation
지역 미상,의성시,순천만에코촌 유스호스텔,https://data.visitkorea.or.kr/page/1972438,"순천만에코촌유스호스텔은 순천만 정원 인근에 자리잡은 전국 최초 전통 한옥형 유스호스텔이다. 단체 고객을 수용할 수 있는 세미나실, 강의실이 있다. 전 객실에 비데, 정수기, 냉장고, TV가 배치되어 투숙객들의 편의성을 높였다. 숙소 인근에 순천만습지, 순천만국가정원, 낙안읍성, 송광사 등이 위치해 있다.",Accommodation
경상북도,안동시,안동고택 이상루,https://data.visitkorea.or.kr/page/1883135,"경북 안동 천등산 자락에 위치한 250년의 역사를 간직한 안동고택 이상루는 안동 김씨의 시조인 김선평의 단소를 지키고 문중회의를 하는 곳이다. 이상루는 다락집 형태의 2층 목조누각으로 무게있는 위엄을 자랑하고, 태장재사에서는 숙박을 한다. 겨울에는 황토방 아궁이에 불을 때고 여름에는 텐트나 모기장을 치고 이상루에서 잘 수 있어 색다른 경험을 할 수 있다. 다도, 매듭공예, 탈춤, 천연염색, 한지공예 체험 및 효 교육 등 다양한 프로그램이 있고, 조식으로 각종 약선식과 양반식 밥상을 경험할 수 있다. 안동하회마을과 도산서원의 중간지점에 있어 주변 관광도 편리하다.",Leisure
경상북도,봉화시,소강고택,https://data.visitkorea.or.kr/page/2047715,"소강고택은 경상북도 봉화군 바래미마을에 자리한 100여 년 된 고택으로, 독립운동가 남호 김뢰식 선생이 둘째 아들 소강 김창기를 위해 춘양목으로 정성스레 지은 집이다. 객실은 사랑방부터 어사방까지 총 6개로, 사랑방은 두 칸 방에 사랑 대청마루를 함께 쓸 수 있고, 선비방은 아침에 가장 먼저 해가 드는 방이며, 도령방은 고택 유일의 황토 온돌방이다. 모든 방에 에어컨을 두었고, 방문을 열만 꽃나무가 핀 정원이 인사한다.",Place
경상북도,영천시,귀애고택,https://data.visitkorea.or.kr/page/1992038,"경상북도 영천에 자리한 귀애고택은 묵헌공 조명직이 조선 영조 43년 이주하여 건립하며 형성된 한옥이다. 대문채를 지나 앞마당에 들어서면 사랑채와 안채, 디딜방아 초가집이 나온다. 대문채 옆 공간에는 장독대가 즐비하고, 사랑채 뒤로 정방형 연못과 육각정, 귀애정이 조화를 이루고 있다. 매년 2회 재즈, 락, 인대밴드, 클래식 공연 등 고택 음악회를 개최하고, 한복․국궁․전통주 등 다양한 전통체험 프로그램을 운영한다.",Leisure
서울특별시,세부 지역 미상,연우하우스,https://data.visitkorea.or.kr/page/1883087,"""전통 한옥인 연우하우스는 서울 종로 북촌 한옥마을에 위치하여 조용하고 아늑하다. 아담한 두 개의 객실이 준비되어 있고, 객실에는 욕실을 갖추고 있다. 사다리를 타고 지붕으로 올라가서 보는 북촌 한옥마을의 전경이 일품이다. 오래된 한옥이기에 위생관리에 세심한 주의를 기울이고 있다. 인근에 경복궁, 청경궁, 창덕궁 등 서울 명소가 있다.""",Place
경상북도,봉화시,토향고택,https://data.visitkorea.or.kr/page/1882550,"토향고택은 입향 후 11대째 후손들이 대대로 살아온 곳으로, 과거와 현재의 모습이 조화롭게 어우리진 경상북도 봉화의 명품고택이다. 안채는 입향 전 지어진 건물로 350년 이상으로 추정된다. 정원에는 연꽃 연목과 산책길, 도자기 장작가마, 꽃밭 등이 있고, 후원에는 야생화 언덕과 함께 전통 그네, 널, 제기, 투호, 제기차기 등을 즐길 수 있는 민속놀이터가 있다. 특히 도자기체험은 토향고택만의 특별한 자랑이다.",Leisure
인천광역시,인천시,장보고한옥펜션,https://data.visitkorea.or.kr/page/2050339,"장보고한옥펜션은 지붕 없는 박물관으로 불리는 인천 강화군 송해면에 위치한다. 유네스코 세계유산으로 등재된 강화고인돌유적과 강화역사박물관, 자연사박물관이 있는 하점면 부근리에서 차로 5분이면 닿을 수 있는 곳이다. 진달래 군락으로 유명한 고려산(436m) 산행 들머리인 백련사와도 4km밖에 떨어져 있지 않다. 장보고한옥펜션에서 숙박체험이 가능한 공간은 사랑채와 안채다. 사랑채와 안채는 아담한 마당을 사이에 두고 있다. 예쁜 우물이 있는 마당은 아케이드로 지붕을 올려 사시사철 편안한 휴식공간으로 사용된다. 사랑채와 안채는 모두 거실과 두 개의 방으로 구성됐으며, 별도의 전통 아궁이를 갖췄다. 안채에는 아늑한 다락방도 있다. 부대시설로는 안채 맞은편의 구들방과 수영장, 그리고 야외 바비큐 시설 등이 있다. 사랑채와 안채에 화장실이 있지만, 단체 이용객의 편의를 위해 야외에 공용 화장실도 마련했다.",Accommodation
지역 미상,세부 지역 미상,가람초연재,https://data.visitkorea.or.kr/page/1865597,"가람초연재는 낙동강 상류가 굽이굽이 흐르는 고즈넉한 하회마을에 자리한다. 기와지붕 고택 사이에서 볏짚을 두툼하게 올려 말끔히 손질한 초가지붕의 가람초연재가 눈에 띈다. ‘가람’은 서애 류성룡의 15대손인 주인 할아버지의 호이고 ‘초연재’는 제비가 사는 초가집이란 의미로, 실제 서까래나 처마 밑에 사는 제비를 볼 수 있다. 사랑채 마루에서 안채 뒤쪽으로 넘어가는 해는 몽환적인 시간을 선사한다. 갓 만들기 및 디딜방아, 맷돌 같은 민속도구 체험을 할 수 있다.",Leisure
서울특별시,세부 지역 미상,인우하우스,https://data.visitkorea.or.kr/page/1882248,"서울 종로 계동 골목에 위치한 인우하우스는 전통한옥으로, 각 방에 전용화장실을 갖추고 있다. 처마 아래 제비집이 있어 해마다 봄이면 제비 가족이 찾아오는 것이 이 집의 자랑이다. 전통문화 체험을 위해 전통한지공예, 전통매듭 팔찌 만들기, 부채꾸미기 등의 다양한 프로그램을 제공하고 있다. 인근에 식당, 카페, 편의점 등이 있어 편리하고, 경복궁, 창덕궁, 인사동, 삼청동 등도 도보로 이동하기 좋다.",Restaurant
전라북도,세부 지역 미상,시원,https://data.visitkorea.or.kr/page/1972487,"시원은 전주한옥마을에 위치해있다. 시원에는 5개의 객실이 있다. ‘모두 사랑과 건강을 나누고 기쁨이 가득하게 살자’는 의미를 담아 방 이름을 ‘모두’, ‘사랑’, ‘건강’, ‘기쁨’, ‘가득’으로 지었다. 가득방을 제외한 모든 방이 복층 구조이다. 기존 한옥에 있던 다락을 활용했다. 아이들이 특히 좋아한다. 천장에 보이는 서까래와 벽에 작은 구멍을 뚫어 만든 귀여운 조명이 색다른 분위기를 낸다. 특히, 방마다 길다란 통창이 있어, 밤에 열어두면, 마당에서 불빛이 새 들어와 운치있다. 문 앞 툇마루는 걸터앉아 정원을 감상하며 이야기 나누기 좋은 곳이다. 또한 방마다 화장실과 WiFi 에어컨 TV등을 갖추고 있으며, 마당에서 투호와 제기차기 등의 전통놀이를 즐길 수도 있다.",Place
지역 미상,세부 지역 미상,필봉문화촌 취락원,https://data.visitkorea.or.kr/page/1971844,"임실필봉농악보존회는 필봉문화촌 명소인 한옥 ‘취락원’을 한옥스테이로 운영하고 있다. 취락원에서는 2인실부터 3인실, 5인실, 단체실 등 인원에 따라 숙박이 가능하며, 한옥체험과 전통문화체험이 가능하다.",Leisure
지역 미상,세부 지역 미상,주식회사 황남관,https://data.visitkorea.or.kr/page/1972397,"황남관은 황리단길 근처에 위치한 한옥 호텔이다. 첨성대, 안압지까지 도보로 이동 가능하다. 히어로키즈파크 방문 시 입장료 30% 할인권을 증정하고, 한복 무료 체험이 가능하다. 객실 당 사진 인화 1장이 무료이므로 투숙객이라면 체험을 추천한다.",Accommodation
지역 미상,세부 지역 미상,다향소축,https://data.visitkorea.or.kr/page/1870767,다향소축민박은 다산초당 입구에 위치하여 그윽한 녹차향기가 특징이다. 향토박물관처럼 우리 조상들의 물건들을 직접 볼 수 있는 전통한옥으로 고향의 냄새를 물씬 풍긴다. 방과 벽이 모두 황토로 되어 있으며 편백으로 벽 마감처리를 하여 전통적인 느낌을 더했다.,CulturalFacility
전라남도,세부 지역 미상,월인당,https://data.visitkorea.or.kr/page/1883593,"전라남도 영암군 모정행복마을에 자리한 월인당은 사시사철 보름달을 가장 잘 볼 수 있는 곳이다. 대청, 구들장, 누마루, 친환경 황토벽으로 전통 한옥의 멋을 살렸다. 누마루에서 차와 식사를 할 수 있고, 아궁이에서는 고구마를 굽거나 바비큐를 할 수 있다. 다도, 천연염색, 팥칼국수 만들기 체험 등을 진행하고, 넓은 잔디마당에서 공놀이, 배구 등 야외 놀이도 즐기기 좋다. 이색적인 동네 골목길 벽화를 구경하는 재미가 있다.",Leisure
강원특별자치도,고령시,해마루 힐링숲,https://data.visitkorea.or.kr/page/2049874,"전라남도 해남군 두륜산 자락인 해남김치정보화마을에 자리한 해마루 힐링숲은 완도 바다가 보이고 울창한 편백숲으로 둘러싸인 전통 한옥으로, 툇마루에서 보는 절경이 일품이다. 강원도 육송과 황토, 고령 한와를 사용해 지었고, 안채는 아파트형 독채 객실, 바깥채는 원룸 형태다. 여름에는 마을에서 운영하는 수영장에서 물놀이를 즐길 수 있다. 텃밭에 키우는 채소는 자유롭게 채취해 먹을 수 있고, 윷놀이, 다듬이, 쥐불놀이와 김치 담그기 체험 등도 유료 혹은 무료로 제공하고 있다.",Leisure
경상북도,안동시,안동 수애당,https://data.visitkorea.or.kr/page/2000725,"수애당은 경상북도와 안동시가 지정한 제1호 전통한옥체험장이다. 고즈넉한 감성숙박으로 넉넉한 마루와 부드러운 처마가 특징인 곳이다. 침구류는 항상 깔끔하고 산뜻해야 한다는 주인장의 고집에 따라 직접 맞춤 제작한 광목천의 목화솜이불이 매일 교체된다. 한지 손거울 만들기, 다도 등 다양한 문화체험이 마련되어 있다. 툇마루에서 먹을 수 있는 파전과 안동소주를 판매한다. 밤하늘과 한옥의 분위기를 함께 느낄 수 있다. 하회마을, 봉정사, 도산서원, 병산서원 등 숙소 주변에 관광지가 있다.",Accommodation
경기도,세부 지역 미상,늘봄스테이,https://data.visitkorea.or.kr/page/1883085,"늘봄스테이는 전주 한옥마을 메인 거리 안쪽에 위치해 있으며 풍남문, 경기전, 남부시장, 야시장, 벽화마을, 오목대, 전동성당, 남천교, 먹거리 거리 등 명소 여행에 최적화 된 거리에 위치해있다. 모든 객실에 넷플릭스, 에어컨, 2인 소파, 매트리스 토퍼, 호텔식 침구류, 수건, TV, 빔 프로젝트, 블루투스 스피커, 고데기, 드라이기, wifi, 세면용품, 클렌징 용품, 개별 화장실이 구비되어 있다. 투숙객들의 요청시 폴라로이드 촬영을 제공한다.",Accommodation
지역 미상,세부 지역 미상,담소정,https://data.visitkorea.or.kr/page/1870779,"담소정은 조상의 숨결이 살아있는 북촌한옥마을에 위치해있다. 도시 안에 편안하고 멋진 풍경이 어우러진 한옥에서 가족과 연인, 친구와 함께 좋은 시간을 보낼 수 있는 한옥이다. 3호선 안국역 주변에 위치하여 교통이 편리하다. 드라마 '별에서 온 그대'의 400년 전 도민준 생가로 유명한 곳이다. 한옥의 대청마루에서는 고즈넉한 100년 한옥의 정취를 느끼며 사계절을 느낄 수 있다.",Place
지역 미상,세부 지역 미상,고택 한옥에서,https://data.visitkorea.or.kr/page/1991992,한옥에서 찾는 모든 사람들에게 건강하고 행복한 에너지를 채워드리려고 노력하는 고택한옥에서는 한국의 멋과 맛이 살아있는 전통가옥인 한옥으로 지어져있다.,Place
지역 미상,세부 지역 미상,축구꿈나무집,https://data.visitkorea.or.kr/page/1883367,"축구꿈나무집은 조선전기 문신 김종직 선생 후손들의 집성촌인 개실마을에 위치한 잔디마당이 딸린 한옥 민박집이다. 매실과 죽실 2개 객실 중 난실에서는 취사가 가능하고, 숯을 준비하면 야외 바비큐도 가능하다. 마을에서 고구마 캐기, 모내기 등의 ‘농사체험’, 연이나 짚공예 등의 ‘만들기체험’, 엿이나 유과 만들기 등의 ‘전통음식체험’, 미꾸라지 잡기나 얼음썰매 등의 ‘자연체험’ 프로그램 등을 운영하여 다양한 체험을 즐길 수 있다.",Restaurant
전라북도,세부 지역 미상,지리산한옥마을,https://data.visitkorea.or.kr/page/1908555,"전라북도 남원시에 위치한 지리산한옥마을은 천왕봉과 노고단 아래 명당으로 이름난 고택이다. 뱀사골과 노고단이 차로 20분 이내에 있어 여름철 방문 비중이 높다. 주위의 경관의 워낙 뛰어나 시인, 문학인, 경영인들이 자주 찾고, 특히 2008년 노벨문학상 후보가 이곳에 머물면서 작품활동을 했다고 한다.",Place
